Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,8,1991.9290550200126,3154.2825482880326
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,9,2348.658281561395,3373.6033546953117
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,10,2599.0208291129106,3800.589494468371
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,1,427.6551827676617,605.39926163974
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,2,928.4639004194138,1393.2862127231117
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,3,1510.0949880438493,1566.1274764502898
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,4,1523.7639865654694,1648.7728611985328
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,5,1697.6697537468863,2420.236619820098
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,6,1706.807261413662,2443.147187781687
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,7,2062.3256094875887,2715.2799790247263
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,8,2253.1157121801293,2929.116611048984
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,9,2595.5878610932186,3043.267191903564
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,10,2736.951479809804,3594.2051925038295
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,1,22.9660154603594,121.28617572092473
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,2,82.42112329463092,265.3050975849314
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,3,104.6042667740573,268.11215401692
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,4,122.63720815573481,279.8238570072488
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,5,135.15919260259804,319.94829766850626
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,6,136.7747376867494,347.7768831379482
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,7,154.56132658629647,384.0627462732179
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,8,178.9347704521401,392.26929901410904
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,9,210.37329528204438,410.2303688535566
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,FNF,10,213.34241002078505,426.7600889552069
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,1,14.519055843793252,42.54605687317037
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,2,20.907151705907992,43.06297491795962
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,3,60.25457208398986,47.34776350966873
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,4,71.81165665105867,152.92465014080844
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,5,98.67366941407535,164.79554488835535
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,6,110.96317348377751,191.49107089258277
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,7,135.88270661647255,213.17691779337454
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,8,138.76774324969313,216.07876919532907
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,9,163.64056073099533,236.1131940317781
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNF,10,181.42099446018423,260.313248798685
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,1,29.089793922775833,41.21760924541851
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,2,63.609587903397255,97.15908720343114
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,3,103.21935290387856,107.27313355558393
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,4,106.22156748859497,114.91938056382286
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,5,116.62223707453161,165.90520924125005
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,6,118.44359626998207,170.26301916194518
